answer;real;error;
0;0;0;
0;0;0;
4.000000000000001;4;-8.881784197001252e-16;
9.000000000000002;9;-1.77635683940025e-15;
16;16;-3.552713678800501e-15;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
4.000000000000001;4;-8.881784197001252e-16;
9.000000000000014;9;-1.4210854715202e-14;
16;16;-3.552713678800501e-15;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
4.000000000000001;4;-8.881784197001252e-16;
9.000000000000007;9;-7.105427357601002e-15;
16;16;-3.552713678800501e-15;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
4.000000000000001;4;-8.881784197001252e-16;
8.999999999999993;9;7.105427357601002e-15;
16;16;-3.552713678800501e-15;
0;0;0;
0;0;0;
0;0;0;
1;1;-2.220446049250313e-16;
4.000000000000001;4;-8.881784197001252e-16;
8.999999999999991;9;8.881784197001252e-15;
16;16;-3.552713678800501e-15;
25;25;-3.552713678800501e-15;
36.00000000000001;36;-7.105427357601002e-15;
0;0;0;
1.000000000000006;1;-5.773159728050814e-15;
4.000000000000002;4;-1.77635683940025e-15;
8.999999999999998;9;1.77635683940025e-15;
16;16;0;
25;25;0;
36.00000000000001;36;-7.105427357601002e-15;
0;0;0;
1.000000000000007;1;-6.661338147750939e-15;
4.000000000000004;4;-3.552713678800501e-15;
9.000000000000002;9;-1.77635683940025e-15;
15.99999999999999;16;5.329070518200751e-15;
24.99999999999999;25;7.105427357601002e-15;
36.00000000000001;36;-7.105427357601002e-15;
